Rank,Fan,Hand,Starting Hand,Fan Types,Win Type,Player,Player ID,Record
60,115,"[SSS,3][WWWW,2][EEE,3][111p,3]NN|EE0000","58m137p77sESSWWWN|EE0000","混幺九、小四喜","ron","WeakBot2","dXN9CRyb","bxzyVbwX"
61,114,"2233344488999s2s|WS1000","67m247p223449sCP|WS0000","四暗刻、清一色、一色三节高","tsumo","低级泰坦","57uYq2fM","UtvKESJF"
62,114,"[PPP,3]888m88sCCCFFF|WN1000","1488m489p28sECFF|WN0000","大三元","tsumo","枭风雀庄","32C6J1o3","VQsWb9US"
63,114,"[SSS,3][999m,2][FFF,1]CPPPC|EE0010","22499m36p8sESNFPP|EE0000","小三元、混幺九","ron","Doge","DF5ET0y5","6FGPYybt"
64,113,"[NNN,1][999p,1][EEE,2][SSS,3]WW|SE0000","15m2369p689sESWNF|SE0000","混幺九、小四喜","ron","Hydra","6GP4wdRL","nbxx1vJJ"
65,112,"[FFF,2][888s,1][333s,3][4444s,3]6s6s|WE0010","1m3448p133447sFFP|WE0000","绿一色","ron","Doge","DF5ET0y5","mEEyZFuV"
66,112,"[PPP,3][CCC,3][WWW,3][1111m,3]FF|WS0000","11m36p459sWWNCCP|WS0000","小三元、混幺九","ron","薄荷犬","orU9BPUU","JXwQq0yn"
67,111,"[111p,2][999p,3]CCFFPPPF|WS0010","789m169p1448sNCP|WS0000","小三元、混幺九","ron","佰番shooter","NMaPwyJ4","R3sw040t"
68,111,"[SSSS,6][EEE,2][999m,2]WWWNN|ES0000","6799m6p479sESSWN|ES0000","混幺九、小四喜","ron","初冬666","J5uVo2hK","QtRjBx03"
69,110,"[7777p]77m888p77799s7m|NS1000","3477m67788p67sSS|NS0000","四暗刻、全大","tsumo","Zazaka","QTLFDuyo","7NLtA7L2"
70,110,"[9999s,6][SSS,2][PPP,1]CCCFF|SE0000","24m25p799sSSCCFPP|SE0000","小三元、混幺九","ron","柳梦璃","PPHotfkF","bzTSc5RL"
71,110,"[CCC,1][999p,3][PPP,2][EEE,1]FF|SN0000","258m1699pEECCPP|SN0000","小三元、混幺九","ron","东西喵","NTiMPvBY","vUbcQEaf"
72,109,"88m345pCCCFFFPPP|WE1000","4588m457p899sCFFP|WE0000","大三元","tsumo","吴三牛","m4hLBbnc","5idWn2BK"
73,109,"[CCC,2][PPP,1][WWW,2][111s,3]FF|WW1000","23359m49p11sWNCC|WW0000","小三元、混幺九","tsumo","海狼李林","diXjmLJr","U8bMWNea"
74,109,"[EEE,3][NNN,1][999s,1]SWWWS|WE1000","268m25p2299sEEWWN|WE0000","混幺九、小四喜","tsumo","小黄","uL7d6bVj","VaPh84BJ"
75,109,"[EEE,3][SSS,1][NNN,2]111sWW|SE1000","1m577p111sEESSWCP|SE0000","混幺九、小四喜","tsumo","贾岛QAQ","0tbo3Kea","e61VCnhH"
76,109,"[WWW,1][EEE,2][NNN,1]111mSS|WW1000","112m15p29sEESWNN|WW0000","混幺九、小四喜","tsumo","追影","byorfXw2","YVgd5SkP"
77,108,"[1111m,7][EEE,3]CCCFPPPF|NN0000","478m346p46sEWCFP|NN0000","小三元、混幺九","ron","SunnyYip","njwu2Rh3","DaFZiaM0"
78,108,"[999p,1][FFFF,6]NNNCCCPP|SW1000","3m199p44sWNNNCFF|SW0000","小三元、混幺九","tsumo","kabidesu","8SiX3Pzw","RMrwgMof"
79,108,"[999p,1][FFFF,6]NNNCCCPP|SW1000","3m199p44sWNNNCFF|SW0000","小三元、混幺九","tsumo","kabidesu","8SiX3Pzw","RMrwgMof"
80,108,"[FFFF][CCC,1]11mNNNPP1m|SS0000","7m26p1234sNNNCFF|SS0000","小三元、混幺九","ron","桜坂逢里","gW37BsYa","ZoN0ZerT"
81,108,"[SSS,3][WWW,2][999m,1]ENNNE|WE1000","799m38pESSWWNNFP|WE0000","混幺九、小四喜","tsumo","xxxhhww","aeVdfr2X","e8ewZMeH"
82,108,"[WWWW,6][EEE,2]99sSSSNN9s|WN1000","55m8p2899sEEWWFP|WN0000","混幺九、小四喜","tsumo","潇飒","7W5Vv6P0","FU3TEodR"
83,107,"22233444999pPP3p|SS1000","29m234499p13sWPP|SS0000","四暗刻、一色三节高","tsumo","阿德南","ZQ9HgMuq","P5bnDJDm"
84,107,"[111p,2][WWW,3][EEE,1]SSNNS|WW0000","3m1125p3sESSWWNF|WW0000","混幺九、小四喜","ron","寳儿丶少爷","T65DBL2e","1xzfRoff"
85,107,"[111s,2][NNN,3]EESSSWWE|SE0000","11346sEESSSWNNP|SE0000","混幺九、小四喜","ron","xiong","hgyofHKx","WWeeoHM9"
86,107,"[CCC,3][FFF,3]3339pPPP9p|WN1000","5m3339p59sECCFFP|WN0000","大三元","tsumo","方方","a0iprZGR","wksborDK"
87,107,"[EEEE,5][PPPP,7][WWWW,5][4444m,2]6m6m|SW0000","44m28p366sEEWWCP|SW0000","四杠","ron","鸟苷三磷酸","tLFW3pyD","N6bGfVfN"
88,107,"[FFF,3][5555s,5]99sCCCPPP|NS1000","2m58p45899sCCFFP|NS0000","大三元","tsumo","Forenal","6Cy4eFbD","iLxJDUi9"
89,107,"[NNN,3][SSS,1][999p,3]EEWWE|SW0000","136799p49sESWNP|SW0000","混幺九、小四喜","ron","云出无心","GHHbmkzt","wXyZEaCN"
90,107,"[PPP,2][111m,2][EEE,3]CFFFC|EW0000","124m68p23sEECFPP|EW0000","小三元、混幺九","ron","灰色轨迹","p8oAALgB","f555XYuL"
91,107,"[SSS,2][WWW,3][111p,3]ENNNE|NE0000","6m11479p48sSSWNNF|NE0000","混幺九、小四喜","ron","Yuki琪琪","rhzJHqbx","DU4QzB8v"
92,106,"[999p,2][FFF,3][PPP,2]11pCC1p|ES1000","269m12799p8sCFFP|ES0000","小三元、混幺九","tsumo","王洋","4u3Wyyjo","tzQRbJbK"
93,106,"[EEE,2][999m,1][WWW,3]SSNNS|NS0000","479m258p6sEEWWNF|NS0000","混幺九、小四喜","ron","祁连祈知","Xgx98Vjp","MBQFQbpi"
94,106,"[EEE,3][999p,1][CCCC,3]FFPPF|EW0000","59m28p5sEECCCFPP|EW0000","小三元、混幺九","ron","下张自摸真君","cFridtMX","bNzVFQmx"
95,106,"[FFF,1][PPP,3]99sSSSCC9s|WS0000","35m1458p99sSSFFP|WS0000","小三元、混幺九","ron","蹦天使","vNXa8Suc","rczTi9XX"
96,106,"[FFFF,2][111s,2][PPP,2]111pCC|NW1000","56m11p15689sSFFF|NW0000","小三元、混幺九","tsumo","odd","7q9obtYX","gJvxYUka"
97,106,"[FFFF,6][EEE,2][PPP,3]999sCC|EW0000","89m15p699sEECFFP|EW0000","小三元、混幺九","ron","孟丽莉","5Zp5QqGE","qbEVfsfL"
98,106,"[PPPP,5][111m,3][CCC,2][1111p,6]FF|NE1000","11258m1189p7sCFPP|NE0000","小三元、混幺九","tsumo","四喜","2oM4SxsV","gYpRLyvN"
99,106,"[SSSS,6][CCC,3][FFF,1]111mPP|EN0000","111m139p46sSSCCP|EN0000","小三元、混幺九","ron","猫猫今天吃啥","qaWUmWTs","hNHqFg2E"
100,105,"[CCC,2][999p,2][NNN,1]FFPPF|SW0000","4m299p89sSNNCCFP|SW0000","小三元、混幺九","ron","酒巷清风","2N9YvRrL","E9eEKipx"
101,105,"[CCC,3][NNNN,2][999m,2]FFFPP|WE0000","399m48p58sNNNCCFF|WE0000","小三元、混幺九","ron","xxxhhww","aeVdfr2X","6tnDvYGP"
102,105,"[EEE,1][FFF,3]55mCCCPPP|NS1000","3556m578sEECFFP|NS0000","大三元","tsumo","凌云峰200","fnJ3Uesu","EdpYayos"
103,105,"[EEE,3][111m,1][CCC,2]FPPPF|SW0000","112m257pEESCFPP|SW0000","小三元、混幺九","ron","SSSFFF","q54ZGx8F","DhP3YHe3"
104,105,"[EEE,3][SSS,2][WWWW,6]99sNN9s|EN0000","128m16p6sESSWWNC|EN0000","混幺九、小四喜","ron","花毛","pqDvw0UM","LiVGxADY"
105,105,"[PPP,3][CCC,3][333m,1]88mFFF|EW0000","33889m289pENCFP|EW0000","大三元","ron","亦然","fqn40DRx","78CPD1jd"
106,105,"[PPP,3][SSS,2][CCC,2][111s,3]FF|NN1000","47m78p7sESWCCFPP|NN0000","小三元、混幺九","tsumo","浮生小朋友","RrPD5g0E","LGy9b9oo"
107,105,"[WWW,1][SSS,3]11pEEENN1p|NE0000","78m12p17sEESSWWNF|NE0000","混幺九、小四喜","ron","随机性2025","3vmrgYGt","iE67wHAu"
108,104,"[111s,3][111m,3]CCCFFPPF|SW1000","1158m5p159sSWNCF|SW0000","小三元、混幺九","tsumo","放浪雀士","varsRaY2","Kn764kfw"
109,104,"[3333s]222m1122p222s1p|WN1000","12m124667p2334sE|WN0000","四暗刻、全小","tsumo","lingtong","tQQHQKkQ","5yR9fnGw"
110,104,"[666s,3][333s,3][444s,2][FFF,3]8s8s|SS0000","79m5p23346678sEF|SS0000","绿一色","ron","着相","1YzCThjc","09ZJ3x6u"
111,104,"[CCC,1][FFF,2][PPP,1]6688s6s|SE1000","1m15p6688sSCCFFPP|SE0000","大三元","tsumo","逻辑猫","tQTK1DeJ","9WoSsmxg"
112,104,"[CCC,3][PPP,2][111m,1]99mFF9m|ES0000","1124799m58p1sCFP|ES0000","小三元、混幺九","ron","hong","7wCrgqA3","wvSXGXfA"
113,104,"[CCCC,5][111p,3][FFF,3]NNPPN|SW0000","3569m138p1sECCFF|SW0000","小三元、混幺九","ron","xxxhhww","aeVdfr2X","0MixEhN6"
114,104,"[FFF,3][WWW,3][CCC,2][111m,1]PP|SS1000","11m227pSWWCCFFP|SS0000","小三元、混幺九","tsumo","陌猪猪","Dsqc4prR","quhZNMMC"
115,104,"[PPP,1][EEE,1][FFF,2]88mCCC|EN0000","35889m8pEECCFFP|EN0000","大三元","ron","cidocron","AjBGPUHe","5dJjtshF"
116,104,"[PPP,3][CCC,3][EEE,2]99mFF9m|SE0000","499m366p1sEECCFPP|SE0000","小三元、混幺九","ron","小龙女","7WK1gK48","g96StsPV"
117,104,"[SSS,3][NNN,1][EEE,1]11sWW1s|WE0000","379m27p1136sESSWN|WE0000","混幺九、小四喜","ron","浮生小朋友","RrPD5g0E","9H0jErpj"
118,103,"111999p1sEEEPPP1s|SW1000","5689m112799pEEP|SW0000","四暗刻、混幺九","tsumo","t2004","KEUgag4X","ftS3gNwH"
119,103,"[888s,1][444s,3][333s,3][FFF,1]6s6s|WE0000","466m148p334788sFF|WE0000","绿一色","ron","药渣","pyJoaEpr","JsiwMMkY"
120,103,"[999m,3][999s,3]CCFFPPPF|NE1000","2489m24699sSNFFP|NE0000","小三元、混幺九","tsumo","紫翅","gCtTerVE","YRtesieE"
121,103,"[CCC,1][FFFF,5][777m,3]NNPPP|EE1000","1779m38pSNNCCFFP|EE0000","大三元","tsumo","Kiwi","87EBa1sG","nsSfT3NE"
122,103,"[CCC,2][PPP,3][444p,1]11pFFF|EE1000","26m1145p358sCCFFP|EE0000","大三元","tsumo","CHAGA01","ATAaGdpW","NgeDytdP"
