Rank,Fan,Hand,Starting Hand,Fan Types,Win Type,Player,Player ID,Record
336,92,"1122344556677s3s|NN1000","46m28p15566789sW|NN0000","连七对","tsumo","萧何","DJZEyaX8","PbVXw2Yq"
337,92,"199m19p19sESWCFPN|SS0000","139m1356p19sESWC|SS0000","十三幺","ron","低级泰坦","57uYq2fM","EHewXxm6"
338,92,"199m19p19sESWNCPF|SW0100","5679m19p239sEWNC|SW0000","十三幺","ron","一只柠檬","Zi68HmQ5","egj4W3FM"
339,92,"199m19p19sEWNCFPS|SN0000","1459m19p169sWCFP|SN0000","十三幺","ron","尾翼","Pni9WiFR","goHCgkHq"
340,92,"19m119p19sSWNCFPE|EN0100","344m169p1249sSNP|EN0000","十三幺","ron","抹茶味纯子","g2zbXugX","EMs4rQJv"
341,92,"19m119p19sSWNCFPE|EW1000","346m149p89sSNCFP|EW0000","十三幺","tsumo","海伯利安","5xNvcy00","okR7VT6w"
342,92,"19m11p19sESWNCFP9p|EE0000","1135m48p22sESWNCF|EE0000","十三幺","ron","伯约","X64Ye2QZ","i79ZE9bR"
343,92,"19m11p19sESWNCFP9p|NS1000","12348m123sSWCFP|NS0000","十三幺","tsumo","徐北to","SCJkv06C","XBTrrFxe"
344,92,"19m199p19sESNCFPW|NE0000","14589m19p169sSNCF|NE0000","十三幺","ron","喵爹真不是咪","bJoBUb9o","npDtJYQB"
345,92,"19m199p19sESWCFPN|EE0100","1789m159p179sEWCP|EE0000","十三幺","ron","四喜","2oM4SxsV","PAFwB8CW"
346,92,"19m19p119sESWNCFP|EN0000","146m35p167sESWCF|EN0000","十三幺","ron","Haaaaaache","8edQPvZR","ugoCG9EK"
347,92,"19m19p19sEESWNCPF|SE1000","9m3355p1789sESWNP|SE0000","十三幺","tsumo","yayoi","hsJbTLD9","NTjhKBzM"
348,92,"19m19p19sESWCFFPN|NW0100","699m29p56sESWCFP|NW0000","十三幺","ron","云枫","mudiMJAx","eFYHaj32"
349,92,"19m19p19sESWNCFP1m|EN0000","19m479p159sEWNFP|EN0000","十三幺","ron","青花鱼尾","SbguPFEY","WV84wA7o"
350,92,"19m19p19sESWNFFPC|NW0100","14m59p89sEWWNNFP|NW0000","十三幺","ron","Magallan","pTtchss2","1Q70jB24"
351,92,"19m19p19sSSWNCFPE|WN1000","159m44679p139sCF|WN0000","十三幺","tsumo","南宁正氣雀馆","s1PxckGm","9MyngJ2m"
352,92,"19m19p1sESWNCFFP9s|EE0100","12m2p58sESWWNCFFP|EE0000","十三幺","ron","修改昵称","VTAaGGnx","eX8wYZME"
353,92,"19m19p9sESWNCFPP1s|EW1000","11569m29p39sESFP|EW0000","十三幺","tsumo","雄关迈步","JVCtk2tP","E7KtnKfN"
354,92,"19m19p9sESWWNCFP1s|NW1000","189m59p69sESWWCF|NW0000","十三幺","tsumo","有限鲤鱼机","Y4PofoUU","Y7rQ56TB"
355,92,"1m19p119sESWNCFP9m|NE0000","4668m149p12sESWFP|NE0000","十三幺","ron","霸霸","4yeEFtvC","0g3pr7SA"
356,92,"2334455667788m2m|NW0000","334456678m1p4sFF|NW0000","连七对","ron","炙易狐","0GNDQ64K","jtpcBHvH"
357,92,"44555666m33388s4m|NN1000","55668m38p3378sSW|NN0000","四暗刻、一色三节高","tsumo","laitedao","bQWN6CzF","YUWoCNcB"
358,92,"9m19p199sESWNCFP1m|SN0000","69m348p119sESWCF|SN0000","十三幺","ron","萌新白羽","xPMomrJp","vcc67zxf"
359,92,"[2222s]22244m11333p4m|SW1000","24m13689p269sSFP|SW0000","四暗刻","tsumo","Neam","2xv2CHAo","u6Gstkyb"
360,92,"[CCC,1][FFF,3][PPP,3]33p56s7s|SW0000","139p12458sSNCFP|SW0000","大三元","ron","xbh要修仙","R9uT6oHi","J9Jv2eMp"
361,92,"[CCC,1][PPP,3]234m99sFFF|NS0000","357m3p399sSCCFPP|NS0000","大三元","ron","Jk酱","W93FGX6x","do5whmFD"
362,92,"[FFF,2][CCC,1][PPP,3]78m77s6m|ES1000","378m56p77sNCCFPP|ES0000","大三元","tsumo","CHAGA01","ATAaGdpW","LsF29GeB"
363,92,"[FFF,2][PPP,1]11m456sCCC|SN1000","179m4p1456sCCFFP|SN0000","大三元","tsumo","桃蹊柳陌","39GcGHQV","BZoxq29w"
364,92,"[FFF,3]123m44pCCPPPC|WN1000","123m458p38sSCFFP|WN0000","大三元","tsumo","F8","DQj5BfQ7","7iD0kPi7"
365,92,"[FFF,3]678m44sCCCPPP|NN0000","3689m2489sCCFFP|NN0000","大三元","ron","国家二级废物","hisidP42","m2TU6SzW"
366,92,"[FFF,3][CCCC,7]55p56sPPP7s|SW0000","5m568p568sSCCFFP|SW0000","大三元","ron","kay","NTfKo2KP","bGvrF3bp"
367,92,"[FFF,3][PPP,3]678m66sCCC|WW1000","467m47p466sSCFPP|WW0000","大三元","tsumo","ikun鸡打王","3FQb6vtD","KPE8xS24"
368,92,"[PPP,2][FFF,1][456s,3]8mCCC8m|WE0000","278m16p4558sCFFPP|WE0000","大三元","ron","番多多","qq8LfJFg","tEpktrV3"
369,92,"[PPP,2][FFFF]77m567pCCC|EE0000","2778m16p8sCCFFFPP|EE0000","大三元","ron","xiong","hgyofHKx","4MucUQhs"
370,92,"[PPP,3][CCC,3]22m45pFFF3p|WS0000","2278m45p477sECCP|WS0000","大三元","ron","八九胡十万","eCouy647","4BZgPqv4"
371,92,"[PPPP,7][CCC,1]55m678sFFF|NS1000","5579m4p168sCCFPP|NS0000","大三元","tsumo","青椒牛肚炒饭","ggHEBU5F","42gprntp"
372,91,"119m19p19sEWNCFPS|NW0000","19m19p15889sWNFP|NW0000","十三幺","ron","ysrs","vM0qaWcU","uUXL9Y8X"
373,91,"119m9p19sESWNCFP1p|NS1000","129m346p69sESNFP|NS0000","十三幺","tsumo","菠萝吹雪","kVP9jsL5","LiV4QBDs"
374,91,"199m19p19sESWCFPN|WN0000","145m1799p6sESWFP|WN0000","十三幺","ron","ugly2333","Xgu8vJbb","J6hTKQzV"
375,91,"199m19p19sESWNCPF|SS1000","19m179p567sEWNCP|SS0000","十三幺","tsumo","calzhulator","uVXwCycB","WKJdkR8y"
376,91,"199m19p19sESWNCPF|SW1000","199m125899p5sESC|SW0000","十三幺","tsumo","真随机","BR9xamFF","8SijUgvD"
377,91,"199m19p9sESWNCFP1s|SN0000","99m19p59sESWNNCF|SN0000","十三幺","ron","千千晚星","Hh7jKBrE","QuxR3LnR"
378,91,"19m119p19sESWNCPF|EN0000","11489m137p1sEWNP|EN0000","十三幺","ron","信噪比","DA8roabq","STFPTKzF"
379,91,"19m119p1sESWNCFP9s|NW0000","345m6p124sESNCFP|NW0000","十三幺","ron","卡小雷","7NNRX0XL","PoiZXY8v"
380,91,"19m199p19sESWNCPF|NE1000","39m19p13489sESWCC|NE0000","十三幺","tsumo","阿楠","JjcCJixs","Nf4XxoRg"
381,91,"19m199p19sESWNFPC|EN0000","19m12669p139sESF|EN0000","十三幺","ron","ycrj","589AQKUH","XCzfXfvz"
382,91,"19m199p9sESWNCFP1s|NE0000","124569m199pSWCFP|NE0000","十三幺","ron","小玖","WeQGP3vr","NrAyfZ0V"
383,91,"19m19p119sESNCFPW|EE0000","19m158p1579sESSCF|EE0000","十三幺","ron","酱油蛙","xB4mPrSb","PxpKqZ82"
384,91,"19m19p119sESNCFPW|NE0000","13m459p19sEESNCFP|NE0000","十三幺","ron","xkfy","RHr1tSsi","bjcserHU"
385,91,"19m19p119sESWNCPF|EE1000","124m1145p48sEWNCP|EE0000","十三幺","tsumo","二","CJ5SSGd0","047w3xfG"
386,91,"19m19p119sEWNCFPS|NE1000","13367m59p19sEEWCF|NE0000","十三幺","tsumo","蛋黄派","A4KG6n9v","U1e2Si4H"
387,91,"19m19p199sESNCFPW|SW1000","17m19p139sESNCFP|SW0000","十三幺","tsumo","萧何","DJZEyaX8","en9SZEG8"
388,91,"19m19p199sESWNFPC|SS1000","24678m36p16sEWNP|SS0000","十三幺","tsumo","炙易狐","0GNDQ64K","bmVcNYGb"
389,91,"19m19p199sSWNCFPE|SN0000","19m139p19sWCCFPP|SN0000","十三幺","ron","艳阳天","U3e3PxWH","gv8QLfhz"
390,91,"19m19p19sEESWNCPF|WS0000","46m1159p19sESWCP|WS0000","十三幺","ron","CregChain","HdNztew1","4urcosKi"
391,91,"19m19p19sESSWNFPC|WE1000","1m159p1349sESWNFP|WE0000","十三幺","tsumo","CHAGA02","NpduDFKF","SZmTSeSK"
392,91,"19m19p19sESWCFFPN|NE1000","19m129p12256sESFP|NE0000","十三幺","tsumo","快雪时晴","93fCF3vs","bKcCJ1Kz"
393,91,"19m19p19sESWNCFFP|SN1000","1368m49p139sEWNF|SN0000","十三幺","tsumo","MKimiSH","SEK3UW5b","NYB5JtwX"
394,91,"19m19p19sESWNCFP9s|NS0000","55m6p12689sESWNC|NS0000","十三幺","ron","余歌","PPEnGmrM","aP8U2LS5"
395,91,"19m19p19sESWNFFPC|WW0000","125m24p55sESWNFP|WW0000","十三幺","ron","唔C迪C","wRoxAYrd","CWzkFPPq"
396,91,"19m19p19sESWNFPPC|NS0000","1344m15p18sSWNPP|NS0000","十三幺","ron","Encyclopedia","F0FpDopU","jmtDZ2mK"
397,91,"19m19p19sESWWNCFP|WE0000","19m239p4479sESWNC|WE0000","十三幺","ron","夜雨声烦","7wFrv2Uh","vUecZwS2"
398,91,"19m19p19sEWNCFPPS|WW0000","15m1289p3sEWCCFP|WW0000","十三幺","ron","理论力学","ZaL3gSe4","4R74K3qy"
399,91,"19m19p19sSWNCFFPE|EW0000","29m479p199sWNCFP|EW0000","十三幺","ron","酱油蛙","xB4mPrSb","8YSNbcLq"
400,91,"19m19p99sESWNCFP1s|NS0000","179m89p39sESWNCF|NS0000","十三幺","ron","典狱长","ctDaTtix","oXR5uQMU"
401,91,"19m1p19sESWNCFFP9p|SS0000","239m4p6sSWNNCFPP|SS0000","十三幺","ron","立花明明子","GS6Cy4th","npBB6Fxf"
402,91,"19m9p119sESWNCFP1p|NS0000","139m59p17sESNNCF|NS0000","十三幺","ron","对酒当歌","6aRvk6KL","xFJfav2x"
403,91,"19m9p19sEESWNCFP1p|SN1000","119m2p589sENCCFP|SN0000","十三幺","tsumo","孟丽莉","5Zp5QqGE","cJBU0wD5"
404,91,"19m9p19sESSWNCFP1p|WS0000","159m69p19sSWWCFP|WS0000","十三幺","ron","QYC616","jo2hg6aq","o229EP6V"
405,91,"19m9p19sESWNCCFP1p|EN0000","55m8p469sESSWCFP|EN0000","十三幺","ron","CregChain","HdNztew1","v8S6Xwez"
406,91,"19m9p19sESWNCCFP1p|NW0000","167m59p124sESNCC|NW0000","十三幺","ron","Be4Sunrise","rW74QAWT","dDoR7QQF"
407,91,"19m9p19sESWNNCFP1p|NW0000","24m68p167sSWNCFP|NW0000","十三幺","ron","Ahnenerbe412","06pFemAJ","L1EnXr0S"
408,91,"1m119p19sESWNCFP9m|SE1000","17m11679p19sESWCF|SE0000","十三幺","tsumo","昏睡猫","m3NyjJzn","Pv7idAcX"
409,91,"1m199p19sESWNCFP9m|WN0000","2m279p159sESWNCP|WN0000","十三幺","ron","Szdzs","2psp0uJJ","vr1MyXmZ"
410,91,"3344556677899s8s|SE1000","33457p13466778sE|SE0000","连七对","tsumo","国标小渣渣","TezQaG7U","5E0zFd05"
411,91,"3344556677899s8s|WN0000","568m34566789sSC|WN0000","连七对","ron","显卡","rH9yAT00","bnYFB9oy"
412,91,"3445566778899p3p|WE0000","57m4677889p448sSN|WE0000","连七对","ron","黑一色","m1NhYUrF","HYpH5pdC"
413,91,"99m19p19sESWNCFP1m|WN1000","79m233p69sESWNCF|WN0000","十三幺","tsumo","福娃二妹","WPphvUvS","EzZ7ao1x"
414,91,"9m199p19sESWNCFP1m|NE1000","89m199p1259sEWNCF|NE0000","十三幺","tsumo","念天地之悠悠","n6VDauaP","pNpy7kXq"
415,91,"9m19p119sESWNCFP1m|WN0000","49m479p1114sNCFP|WN0000","十三幺","ron","伊尔","tqixYAX2","LeP6DJ66"
416,91,"9m19p19sESWNCCFP1m|NE0000","34m1345p226sSNCFP|NE0000","十三幺","ron","花毛","pqDvw0UM","FoGAo8p3"
417,91,"9m19p19sESWNCFPP1m|NS1000","9m12p1479sEWNCCP|NS0000","十三幺","tsumo","凛樱","HPFpTXUh","Gz3z2649"
418,91,"[9999s,5][NNNN,5][FFFF,2][EEE,3]PP|EN0010","35m12p1499sEWNFF|EN0000","三杠、混幺九","ron","武小玲","tmRtSRun","EhJu2o18"
419,91,"[9999s,7][2222s,2][4444s,2]3377s3s|WW0000","39m125p22247799s|WW0000","三杠、清一色、一色三节高","ron","蛋黄派","A4KG6n9v","4bWHERQH"
420,91,"[CCC,1][PPP,1][789m,2]66sFFF|NS1000","79m189p688sCCFPP|NS0000","大三元","tsumo","Weldon","g2wZw0dx","VTSo2LrF"
421,91,"[CCC,1][PPP,3]11p34sFFF2s|WN0000","5m11469p348sCCFP|WN0000","大三元","ron","小玖","WeQGP3vr","Ts3vp4A1"
422,91,"[CCC,2]789m77pFFPPPF|SW0000","789m3779p9sCFFPP|SW0000","大三元","ron","桃蹊柳陌","39GcGHQV","4Mun8KF0"
423,91,"[CCC,3][FFF,1]88m567sPPP|SS0000","8m47p246sWNCCFPP|SS0000","大三元","ron","菜鸟坟墓","UmvL3dwz","rz1Ae6py"
424,91,"[FFF,1][789p,1][4444p,6]CCPPP|WE1010","8m144589p1569sCFP|WE0000","小三元","tsumo","qsw2025","b52QmscS","Qv0dkNgZ"
425,91,"[FFF,2][CCC,3]234p22sPPP|SE1000","2346p2279sNCCFFP|SE0000","大三元","tsumo","酱油蛙","xB4mPrSb","tnEUMS6j"
426,91,"[FFF,2][PPP,3]77m45pCCC6p|EE0000","1479m19sEWNCCCFF|EE0000","大三元","ron","SSS","Rheh4Z1M","94PVmzvA"
427,91,"[FFF,3]888p333sCPPPC|NE0000","4m888p3349sCFFPPP|NE0000","小三元","ron","浓眉小眼","tCAGeEWU","5e1WN8Cz"
428,91,"[FFF,3][PPP,2]567p5sCCC5s|ES0000","258m5668p35sCFPP|ES0000","大三元","ron","payphone121","hA4uqsyu","2vGE8Zbz"
429,91,"[PPP,2][FFF,3]345m99pCCC|EE0000","3445m499p3sNCFFPP|EE0000","大三元","ron","初阳","vsweEaV1","7Hnono8v"
430,91,"[PPP,3][678s,1][FFF,1]88pCCC|NN0000","15m588p78sNCFFPP|NN0000","大三元","ron","一只柠檬","Zi68HmQ5","Tj77G0Ci"
431,91,"[PPP,3][CCC,3][789m,3]66pFFF|SE0000","2578m166p124sCFPP|SE0000","大三元","ron","友相伴","pCC4ede7","2bYNN2bA"
432,91,"[PPPP,6][CCC,1]345m99sFFF|ES0000","189m35p3899sCCFP|ES0000","大三元","ron","Sin是我的神","0NY2EUw1","BpJNq1jt"
433,90,"119m19p19sESNCFPW|NE1000","1159m79p79sESNFPP|NE0000","十三幺","tsumo","kima","TLC1TTGE","BDm4Moqk"
434,90,"119m19p19sESNCFPW|NE1000","1159m79p79sESNFPP|NE0000","十三幺","tsumo","kima","TLC1TTGE","BDm4Moqk"
435,90,"119m19p19sESNCFPW|SW0000","16m149p1689sESSC|SW0000","十三幺","ron","kanna","G0prWmDC","mHkEp7JX"
436,90,"119m19p19sESWCFPN|NN0000","1149m12p139sESFP|NN0000","十三幺","ron","哼哈","WzzxAbtV","n4XqjkHA"
437,90,"119m19p19sESWNCPF|NS1000","1179m16p3sESWNCP|NS0000","十三幺","tsumo","霹雳911","k9WYmxTd","5mFHwQpX"
438,90,"119m19p19sESWNCPF|SS0000","159m1469p48sSNCP|SS0000","十三幺","ron","戮默","okSCAqT9","1A5QYSgg"
439,90,"119m19p19sESWNFPC|NE1000","89m167p1378sESFPP|NE0000","十三幺","tsumo","快雪时晴","93fCF3vs","SjEhtCYz"
440,90,"119m19p19sSWNCFPE|WN0000","129m15p12269sSCF|WN0000","十三幺","ron","麻将小白","n299Fxwr","CWzdKdk7"
441,90,"119m19p1sESWNCFP9s|SN0000","19m24p167sENNCFP|SN0000","十三幺","ron","量子限域","WcZP1sXh","kNSA2s6H"
442,90,"119m1p19sESWNCFP9p|NN0000","11299m67p17sESCF|NN0000","十三幺","ron","蛋黄派","A4KG6n9v","JAtXueeL"
443,90,"119m1p19sESWNCFP9p|SW0000","119m258p19sWNPPP|SW0000","十三幺","ron","Mo鱼","jXpvHhxJ","UhRJyA4j"
444,90,"11m19p19sESWNCFP9m|NW0000","1p13789sESSNCFP|NW0000","十三幺","ron","乌克兰","qV9MMGrw","71nk04Qe"
445,90,"199m19p19sESNCFPW|NS1000","1289m19p13sESNCF|NS0000","十三幺","tsumo","张磊","HFSjd0zk","VoJpNhxP"
446,90,"199m19p19sESNCFPW|SW0000","159m169p189sNCFP|SW0000","十三幺","ron","pluto","YKLR5T9f","ZnfZPDYD"
447,90,"199m19p19sESWCFPN|WE0000","199m1579p9sESWCFP|WE0000","十三幺","ron","抹茶要楽奈","ws05Z3BG","pe67s63f"
448,90,"199m19p19sEWNCFPS|ES0000","1369m1359p1sEWCF|ES0000","十三幺","ron","襄下樊人","qX2Vddw6","QLMX94Dv"
449,90,"199m19p19sEWNCFPS|SE1000","13469m8p99sEWNCFP|SE0000","十三幺","tsumo","萌新大白獭","VqDyhii1","wJAqdJkj"
450,90,"199m19p1sESWNCFP9s|NS1000","199m29p114sESNCP|NS0000","十三幺","tsumo","pisces","gEMAbv3u","wvPUL9BC"
451,90,"199m19p1sESWNCFP9s|SN0000","1389m7p36sESNCFP|SN0000","十三幺","ron","对酒当歌","6aRvk6KL","d4m96kGm"
452,90,"19m119p19sESWCFPN|SN0000","18m135p169sEESCF|SN0000","十三幺","ron","幻雪","nv98xm1R","9CWFB3Vj"
453,90,"19m119p19sESWCFPN|SS1000","269p1359sESWCFP|SS0000","十三幺","tsumo","渼酒","ZiPnUvnp","EE9cTqsU"
454,90,"19m119p19sESWNCPF|ES0000","189m2389p79sESNC|ES0000","十三幺","ron","Hotaru","J2NV3FXG","iyZdukU8"
455,90,"19m119p19sESWNCPF|NS1000","239m159p88sESWNP|NS0000","十三幺","tsumo","枭风雀庄","32C6J1o3","GXN8j6MP"
456,90,"19m119p19sESWNFPC|NS0000","8m119p119sESWNFP|NS0000","十三幺","ron","一只柠檬","Zi68HmQ5","4tGm7ENL"
457,90,"19m119p1sESWNCFP9s|WE0000","145799m19p27sSWFP|WE0000","十三幺","ron","武小玲","tmRtSRun","2gNnecng"
458,90,"19m119p9sESWNCFP1s|NE0000","12379m69p36sSNCFP|NE0000","十三幺","ron","台风","qkrGZZM4","rxqyb3Hu"
459,90,"19m11p19sESWNCFP9p|EW0000","1359m7p899sESCFP|EW0000","十三幺","ron","多情龙井","oBekbCCM","gDbrCBLs"
460,90,"19m11p19sESWNCFP9p|WW1000","69m1p1689sESNCFP|WW0000","十三幺","tsumo","看雪飘过","WPsjXNpL","Wh5vg0gW"
461,90,"19m199p19sESWCFPN|WN1000","15m199p2449sSWCP|WN0000","十三幺","tsumo","日出","XVsSqEsm","7yVBuNPL"
462,90,"19m199p19sESWNCFP|NN1000","179m889p159sESNC|NN0000","十三幺","tsumo","天使的秤","fzTao7oq","NtpR2hqd"
463,90,"19m199p19sESWNCPF|SW1000","1134m1278p9sESNP|SW0000","十三幺","tsumo","修改昵称","VTAaGGnx","WnWwyoBJ"
464,90,"19m199p19sEWNCFPS|WN0000","12339m9p3sEWNNCF|WN0000","十三幺","ron","INFP","mNL9CUZo","406MMNmo"
465,90,"19m199p19sSWNCFPE|SE0000","169m39p449sSNCFPP|SE0000","十三幺","ron","伯约2","8rPe6UnP","e6g9wSqK"
466,90,"19m199p9sESWNCFP1s|NW1000","159m13p79sSNNCPP|NW0000","十三幺","tsumo","FMA","vWWmixTv","8SighfxU"
467,90,"19m19p119sESNCFPW|WN0000","3m1269p1189sESCP|WN0000","十三幺","ron","花君子","ZZmFetei","Z3TLYwNi"
468,90,"19m19p119sESWCFPN|NW1000","1259m12p17sESWCP|NW0000","十三幺","tsumo","番茄不能炒蛋","mfTZ5eQX","xHu6e7Qo"
469,90,"19m19p119sESWNCPF|WE0000","19m12678p1169sWNC|WE0000","十三幺","ron","佰番shooter","NMaPwyJ4","7s5J4DiE"
470,90,"19m19p119sESWNFPC|NE1000","9m12279p127sESWNP|NE0000","十三幺","tsumo","全求人","v1WMFNaR","EUhji2SL"
471,90,"19m19p119sSWNCFPE|NS0000","1369m559p179sWFP|NS0000","十三幺","ron","南宁正氣雀馆","s1PxckGm","0Mj4CNRX"
472,90,"19m19p199sESWNCFP|WW0000","12889m15p199sEWF|WW0000","十三幺","ron","依璐","DDcsK8sX","WYdZgU1M"
473,90,"19m19p199sSWNCFPE|EW1000","19m159p12399sWFP|EW0000","十三幺","tsumo","RBsq","FUu2rgkx","h6dXYhju"
474,90,"19m19p19sEESWNCFP|EN0000","1379m139p159sEWC|EN0000","十三幺","ron","炙易狐","0GNDQ64K","rpRiJwEt"
475,90,"19m19p19sEESWNCPF|NW1000","134m1569p1sESWNP|NW0000","十三幺","tsumo","海伯利安","5xNvcy00","Ra1y7Ah3"
476,90,"19m19p19sEESWNCPF|NW1000","39m1369p159sEESW|NW0000","十三幺","tsumo","雨萌小小酱","wXv1sNUz","9TLkvhqr"
477,90,"19m19p19sESWCCFPN|ES1000","9m14699p89sEWCFP|ES0000","十三幺","tsumo","暗刻来了","Y8ecrPb8","65MrHfX7"
478,90,"19m19p19sESWNCCPF|WS0000","139m4699p1sESWNC|WS0000","十三幺","ron","洛兰希尔坠星","r4vxQMTi","EZNVbwzn"
479,90,"19m19p19sESWNCFP1p|EE0000","11477m89p19sSWNFP|EE0000","十三幺","ron","Simba07","72VSQ4BP","MdT1xdR8"
480,90,"19m19p19sESWNCFP9p|NS0000","1678m189p347sSWF|NS0000","十三幺","ron","鸟苷三磷酸","tLFW3pyD","JvMX0R5U"
481,90,"19m19p19sESWNCFP9s|WN1000","68m49p127sESWNCF|WN0000","十三幺","tsumo","国麻萧寒","0Tnq4yaT","VZKoVSt9"
482,90,"19m19p19sESWNCFPE|WE1000","16m13449p12sESWNC|WE0000","十三幺","tsumo","修改昵称","VTAaGGnx","bp78LF5E"
483,90,"19m19p19sESWNCFPS|NS0000","88m2567p26sESWCP|NS0000","十三幺","ron","kima","TLC1TTGE","MRtmabhy"
484,90,"19m19p19sESWNCPPF|WE1000","49m56779p12sESWCP|WE0000","十三幺","tsumo","LuckyTree","bivEU4P4","nby6gq07"
485,90,"19m19p19sESWWNFPC|EN0000","279m3349p6sESWNF|EN0000","十三幺","ron","正确每一打","TCBGVVGA","AcGDh8DM"
486,90,"19m19p19sSSWNCFPE|SE1000","169m19p13sSSWNCFP|SE0000","十三幺","tsumo","spmagic","bFM2LTRH","d6uMVEfK"
487,90,"19m19p19sSWNCFFPE|EN1000","19m19p1289sSWCFP|EN0000","十三幺","tsumo","海狼李林","diXjmLJr","ZdnsasTo"
488,90,"19m19p1sESSWNCFP9s|SW0000","46789p127sESNCF|SW0000","十三幺","ron","喜欢做大牌","7rBc0Dtw","AzAexi9u"
489,90,"19m19p1sESWNCCFP9s|WE0000","18m149p12sESWNCFP|WE0000","十三幺","ron","椎名真白","kY36gExs","833YtKdL"
490,90,"19m19p1sESWNCFPP9s|ES1000","689m47p23sESWNCP|ES0000","十三幺","tsumo","念起觉迟","sTMWpQuU","swBw0ueX"
491,90,"19m19p1sESWWNCFP9s|NW0000","18m169p14sESWCFP|NW0000","十三幺","ron","菠萝吹雪","kVP9jsL5","dmAMWCCu"
492,90,"19m19p1sESWWNCFP9s|NW0000","2444m189p1sESNFP|NW0000","十三幺","ron","xiong","hgyofHKx","Npf0HxbB"
493,90,"19m19p9sESSWNCFP1s|EW0000","14469p349sESWNF|EW0000","十三幺","ron","nayara","SQe3C7ax","vAQeF8J1"
494,90,"19m1p19sESSWNCFP9p|EW0000","19m5p33589sESNCF|EW0000","十三幺","ron","东东麻","V6vSpjXB","djbNsDPa"
495,90,"19m9p19sESWNCCFP1p|NS1000","58m34899p59sESWF|NS0000","十三幺","tsumo","一碗小甜粥","sVzazfyn","Vr65Go3n"
496,90,"19m9p19sESWNCFPP1p|WW0000","167m599p47sWNCFP|WW0000","十三幺","ron","CregChain","HdNztew1","VKS0G4FD"
497,90,"19m9p19sESWNNCFP1p|SW1000","55m69p58sEWNCFPP|SW0000","十三幺","tsumo","喜欢做大牌","7rBc0Dtw","N6b48nyp"
498,90,"19m9p19sESWWNCFP1p|NW0000","19m388p9sESWNCFP|NW0000","十三幺","ron","歌彫","wq6ByeUU","oKF8g9CL"
499,90,"19m9p19sESWWNCFP1p|WE1000","9m267p1299sESWNCP|WE0000","十三幺","tsumo","白鸟翔","0evtNma3","7tZ7uW3m"
500,90,"19m9p19sESWWNCFP1p|WS1000","457m89p169sESCPP|WS0000","十三幺","tsumo","Candycane","YgmEaPzt","LtQaWWea"
501,90,"1m199p19sESWNCFP9m|SN0000","15m11289pESNCFP|SN0000","十三幺","ron","乌克兰","qV9MMGrw","KB1FeQpv"
502,90,"1m199p19sESWNCFP9m|SN1000","6m799p45sEESWCFP|SN0000","十三幺","tsumo","某届牌王","Pk3CaKLH","2GKgGDMB"
503,90,"1m19p19sESSWNCFP9m|WN1000","8m13379p4sESWNCP|WN0000","十三幺","tsumo","鸟苷三磷酸","tLFW3pyD","Nf4paiy6"
504,90,"99m19p19sESWNCFP1m|NE0000","22899m29p2399sWNC|NE0000","十三幺","ron","泠依喵","f2PFpj3M","1VYJb4tK"
505,90,"99m19p19sESWNCFP1m|NE0000","389m16p1445sWNCFP|NE0000","十三幺","ron","快雪时晴","93fCF3vs","MJGr0DRB"
506,90,"9m119p19sESWNCFP1m|NN0000","289m49p39sESWFPP|NN0000","十三幺","ron","张张进张","5jR4n2J1","VZKoXNGs"
507,90,"9m199p19sESWNCFP1m|EN0000","2m139p59sSWNCFFP|EN0000","十三幺","ron","相川まりえ","tygfuFxJ","aeR549U1"
508,90,"9m199p19sESWNCFP1m|NW0000","9m379p12379sSWCF|NW0000","十三幺","ron","一碗小甜粥","sVzazfyn","pVpJEjUW"
509,90,"9m19p199sESWNCFP1m|NS0000","299m6p1223sWWNFP|NS0000","十三幺","ron","枭风雀庄","32C6J1o3","mbDdZ9Kj"
510,90,"9m19p199sESWNCFP1m|WS0000","789m19p399sESWCF|WS0000","十三幺","ron","立花明明子","GS6Cy4th","kkDJkQM2"
511,90,"9m19p19sEESWNCFP1m|SE1000","279m19p1369sESWCP|SE0000","十三幺","tsumo","xxcnoba","CZeUhLsZ","9bpZHoWB"
512,90,"9m19p19sESWNCFFP1m|NE0000","89m114p2469sEWWCF|NE0000","十三幺","ron","麻将小白","n299Fxwr","qvk15WEq"
513,90,"9m19p19sESWNNCFP1m|NE0000","4579m249p19sWNNFP|NE0000","十三幺","ron","啊我是谁","eQHfSdmv","3wcuxwY6"
514,90,"[CCC,1][PPP,3][FFF,3]56p55s7p|WE0000","1m569p55sSNCCFFPP|WE0000","大三元","ron","有限鲤鱼机","Y4PofoUU","NTjS6taa"
515,90,"[CCC,2][FFF,3]66m567pPPP|SW0000","36689m56p37sECCF|SW0000","大三元","ron","韦一笑","UGz3GLFE","5Ss7A1wH"
516,90,"[CCC,2][PPP,1]99m456sFFF|NS0000","4899m259sSNCCPP|NS0000","大三元","ron","修改昵称","VTAaGGnx","epjmibME"
517,90,"[CCC,3]666p111sFFFPP|NE0000","156p114sSNCCFFFP|NE0000","小三元","ron","雄关迈步","JVCtk2tP","uUXNu0Bg"
518,90,"[CCC,3][FFF,3]33m567sPPP|NE0000","23356m6p678sSWCCF|NE0000","大三元","ron","尾翼","Pni9WiFR","A7iGjs43"
