======================================
Deal-in Rate (放铳率) = deal_in_count / total_rounds
Generated at: 2026-01-09 00:24:36
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
293   	21.88%      	ormisnal                 	32
294   	21.88%      	memo                     	128
295   	21.88%      	linsaiya                 	64
296   	21.88%      	kabidesu                 	256
297   	21.88%      	fiorgace                 	128
298   	21.88%      	blueboat                 	64
299   	21.88%      	Nowherecsb               	256
300   	21.88%      	NCO                      	160
301   	21.88%      	Chauvet                  	32
302   	21.72%      	Falcao                   	488
303   	21.72%      	封兽鵺                	1593
304   	21.69%      	W凌焱                  	544
305   	21.67%      	球1234                  	120
306   	21.67%      	inami                    	720
307   	21.63%      	小E                     	208
308   	21.61%      	我是好人             	921
309   	21.59%      	artemis                  	176
310   	21.57%      	Ash                      	153
311   	21.53%      	倪振民                	144
312   	21.53%      	丝瓜                   	288
313   	21.48%      	Tortov                   	256
314   	21.43%      	番                      	112
315   	21.43%      	渣渣夕                	112
316   	21.43%      	我勒个痛啊          	112
317   	21.43%      	千早爱音             	112
318   	21.43%      	Higuchi                  	56
319   	21.39%      	余歌                   	2024
320   	21.35%      	超硬大七星          	192
321   	21.35%      	WE1RC                    	384
322   	21.35%      	PlanB                    	192
323   	21.34%      	CatHikari                	328
324   	21.34%      	羽未                   	539
325   	21.32%      	mousuan                  	272
326   	21.31%      	瓜瓜瓜宸             	352
327   	21.25%      	黄腾                   	80
328   	21.25%      	缄默德克萨斯       	80
329   	21.25%      	紫翅                   	400
330   	21.25%      	源千鹤                	80
331   	21.25%      	我来截个和          	160
332   	21.25%      	山楂9                  	80
333   	21.25%      	圣堂萌新0v0          	80
334   	21.25%      	云糜                   	160
335   	21.25%      	不爱飞的雕          	160
336   	21.12%      	楠枫溪                	464
337   	21.12%      	luoshen                  	464
338   	21.09%      	铁铳王                	128
339   	21.09%      	凛樱                   	128
340   	21.09%      	令狐封                	256
341   	21.05%      	糖糖0919               	304
342   	21.02%      	渣宝                   	176
343   	21.02%      	日晕月华KBG          	176
344   	21.02%      	sm                       	352
345   	20.96%      	超级七对怪          	272
346   	20.96%      	出道即巅峰          	272
347   	20.94%      	寳儿丶少爷          	320
348   	20.86%      	茗芮里                	1280
349   	20.83%      	食卓塩                	48
350   	20.83%      	门清大师兄          	48
351   	20.83%      	输到想妈妈          	96
352   	20.83%      	超薄也有距离       	48
353   	20.83%      	英子刘梓鑫          	48
354   	20.83%      	臭象                   	96
355   	20.83%      	糕手                   	48
356   	20.83%      	猫南北                	96
357   	20.83%      	狼                      	48
358   	20.83%      	澜川                   	96
359   	20.83%      	林零柒                	96
360   	20.83%      	木之心                	48
361   	20.83%      	无忧                   	48
362   	20.83%      	幽梦一帘             	48
363   	20.83%      	川和桜子             	192
364   	20.83%      	小武                   	48
365   	20.83%      	大七星                	72
366   	20.83%      	卡先生                	96
367   	20.83%      	万俟北辰             	96
368   	20.83%      	一丶丶丨             	48
369   	20.83%      	zsswg                    	96
370   	20.83%      	silence                  	24
371   	20.83%      	dz                       	192
372   	20.83%      	WLSTALIN                 	384
373   	20.83%      	Tony                     	48
374   	20.83%      	The                      	48
375   	20.83%      	LZN                      	48
376   	20.83%      	Hydra                    	336
377   	20.83%      	ExplodedCT               	240
378   	20.83%      	Charlotte                	1248
379   	20.80%      	rainbow369               	928
380   	20.78%      	匃洗湘冯             	640
381   	20.75%      	大哥大的小弟       	400
382   	20.75%      	afanty                   	800
383   	20.74%      	桂茹                   	352
384   	20.74%      	伽罗妹妹             	516
385   	20.73%      	海风                   	492
386   	20.71%      	老馋                   	309
387   	20.70%      	David                    	4865
