======================================
Win Rate (和牌率) = win_count / total_rounds
Generated at: 2026-01-09 02:19:49
Total players: 2080
======================================

Rank  	Rate        	Player Name              	Rounds
266   	27.84%      	penguin                  	528
267   	27.79%      	MINT                     	680
268   	27.78%      	错和紫乌龟          	432
269   	27.78%      	弧龍星                	1296
270   	27.78%      	吃                      	288
271   	27.78%      	roysongor                	144
272   	27.78%      	Rich                     	144
273   	27.78%      	Malkavian                	144
274   	27.76%      	菜鸟坟墓             	6653
275   	27.74%      	sdmt                     	1352
276   	27.71%      	黑一色                	1732
277   	27.69%      	冥雪99                 	520
278   	27.68%      	杜双龙                	112
279   	27.68%      	PeterGriffin             	112
280   	27.66%      	Ace                      	1616
281   	27.63%      	爪哇龟                	304
282   	27.62%      	大货车斯马托       	648
283   	27.61%      	东方雁                	2021
284   	27.60%      	追星逐风             	192
285   	27.60%      	Seven                    	192
286   	27.59%      	王洋                   	2845
287   	27.59%      	小熊                   	656
288   	27.59%      	四方雀者             	772
289   	27.59%      	真随机                	2675
290   	27.59%      	蛋黄派派             	1584
291   	27.56%      	美竹兰                	704
292   	27.53%      	咖啡                   	672
293   	27.52%      	calzhulator              	912
294   	27.51%      	猫猫今天吃啥       	3402
295   	27.50%      	大苏打                	80
296   	27.50%      	佐佐木淳平          	80
297   	27.50%      	不要南风             	80
298   	27.50%      	xiao灰灰丶            	80
299   	27.50%      	summer                   	80
300   	27.50%      	Ttocgnef                 	80
301   	27.50%      	Nagaiyume                	80
302   	27.50%      	GYIMGY                   	80
303   	27.48%      	随便玩玩儿          	1328
304   	27.44%      	一瞥而过             	656
305   	27.43%      	KaneSHEN                 	1677
306   	27.40%      	GRandom                  	208
307   	27.40%      	易北北                	4683
308   	27.39%      	飞刀                   	1902
309   	27.37%      	猫头鹰                	5758
310   	27.34%      	真城璃茉             	256
311   	27.34%      	忆相逢连六          	128
312   	27.34%      	圣杯碳                	128
313   	27.34%      	big7long8                	128
314   	27.31%      	sdlyx                    	4240
315   	27.30%      	仓田真白             	1872
316   	27.27%      	shizuku                  	88
317   	27.27%      	qima                     	176
318   	27.26%      	秀儿稳                	1552
319   	27.25%      	苹果狼、             	1200
320   	27.23%      	黄鸡                   	224
321   	27.23%      	喵爹真不是咪       	11889
322   	27.23%      	萧何                   	382
323   	27.21%      	格兰                   	4124
324   	27.21%      	闻雀                   	272
325   	27.19%      	逻辑猫                	960
326   	27.19%      	洛阳yy                 	320
327   	27.18%      	lagrange1013             	3547
328   	27.16%      	萌新99                 	2945
329   	27.16%      	Tiger                    	2272
330   	27.16%      	神里绫人             	464
331   	27.11%      	菲洛菲洛菲          	712
332   	27.09%      	灬                      	3248
333   	27.09%      	正确每一打          	2012
334   	27.08%      	食卓塩                	48
335   	27.08%      	阿吉                   	144
336   	27.08%      	诈胡战士             	96
337   	27.08%      	自动点炮机          	48
338   	27.08%      	热辣小妈             	336
339   	27.08%      	浪子燕青1974         	96
340   	27.08%      	桂雏菊                	288
341   	27.08%      	杜衡                   	192
342   	27.08%      	尘墨                   	48
343   	27.08%      	小寒冰                	96
344   	27.08%      	夏日浪漫星辰       	48
345   	27.08%      	仔恒                   	48
