======================================
Tsumo-against Rate (被摸率) = tsumo_against_count / total_rounds
Generated at: 2026-01-09 00:24:50
Total players: 1934
======================================

Rank  	Rate        	Player Name              	Rounds
507   	21.70%      	海                      	788
508   	21.69%      	阿飞                   	272
509   	21.69%      	出道即巅峰          	272
510   	21.69%      	作业                   	272
511   	21.69%      	乌克兰                	2656
512   	21.67%      	lalulu                   	240
513   	21.67%      	TedZhu                   	480
514   	21.67%      	Sin是我的神          	60
515   	21.66%      	喜欢做大牌          	2576
516   	21.63%      	wyy1990                  	208
517   	21.63%      	冰雪看看             	3513
518   	21.62%      	Virophage                	444
519   	21.61%      	FMA                      	3891
520   	21.60%      	萌新99成              	861
521   	21.60%      	涛                      	1454
522   	21.59%      	絲絲                   	1232
523   	21.59%      	神里绫人             	352
524   	21.59%      	日晕月华KBG          	176
525   	21.57%      	Ash                      	153
526   	21.56%      	赵秋雨                	320
527   	21.55%      	楠枫溪                	464
528   	21.53%      	王大星                	288
529   	21.53%      	江鸟                   	432
530   	21.53%      	僮九                   	720
531   	21.51%      	贯                      	2552
532   	21.51%      	SunnyYip                 	544
533   	21.49%      	lifeline                 	656
534   	21.48%      	LogY                     	256
535   	21.46%      	spmagic                  	452
536   	21.46%      	风灵                   	480
537   	21.45%      	nsbs                     	592
538   	21.45%      	练习两年半          	1464
539   	21.44%      	Candycane                	6316
540   	21.43%      	静座                   	112
541   	21.43%      	无奈喵                	112
542   	21.43%      	帽帽                   	112
543   	21.43%      	小小黑                	126
544   	21.43%      	天唉唉                	112
545   	21.43%      	在原七海             	196
546   	21.43%      	咕咕咕咕             	1008
547   	21.43%      	pedro                    	448
548   	21.41%      	幻雪                   	495
549   	21.41%      	ikun鸡打王            	3680
550   	21.40%      	观自在                	1210
551   	21.39%      	耳朵老师             	2403
552   	21.38%      	秋玲                   	3648
553   	21.37%      	傻哥哥                	8746
554   	21.37%      	三门齐                	5228
555   	21.35%      	北条沙都子          	192
556   	21.35%      	Seven                    	192
557   	21.35%      	icrua0alskjs             	829
558   	21.35%      	余光                   	1068
559   	21.32%      	神奇的飞菊          	544
560   	21.32%      	tempestkou               	136
561   	21.30%      	牧羊人                	4841
562   	21.29%      	左右                   	371
563   	21.28%      	Serendipity              	1184
564   	21.28%      	一碗小甜粥          	2096
565   	21.28%      	Innnnnfinity             	2096
566   	21.25%      	随随便便             	400
567   	21.25%      	郭橐驼                	80
568   	21.25%      	衔蝉幽客             	160
569   	21.25%      	荔枝好吃             	320
570   	21.25%      	花袭人                	80
571   	21.25%      	羽之野                	80
572   	21.25%      	开一不心的          	320
573   	21.25%      	字一色小四喜       	80
574   	21.25%      	佩奇QAQ                	80
575   	21.25%      	不爱飞的雕          	160
576   	21.25%      	supmary                  	80
577   	21.25%      	lapulas                  	80
578   	21.25%      	NCO                      	160
579   	21.24%      	SSSFFF                   	2208
580   	21.21%      	和绝张                	3300
581   	21.21%      	DankratosBR              	448
582   	21.20%      	阿牛                   	736
583   	21.20%      	BrilliantIME             	736
584   	21.19%      	亦然                   	4799
585   	21.18%      	弃月                   	203
586   	21.18%      	到底是谁             	576
587   	21.18%      	hong                     	2144
588   	21.17%      	大仙人                	2556
589   	21.16%      	糊涂蜜蜜             	1328
590   	21.15%      	海葉                   	208
591   	21.15%      	沐光重生             	208
592   	21.15%      	嗯好可以行          	1877
593   	21.13%      	dorie                    	336
594   	21.13%      	David                    	4865
595   	21.12%      	ws1221                   	464
596   	21.10%      	细呷温酒6708         	839
597   	21.09%      	留下的静悄悄       	128
598   	21.09%      	gadfly0512               	128
599   	21.09%      	TyrusYip                 	384
600   	21.08%      	哆啦a                  	536
601   	21.08%      	对酒当歌             	4166
602   	21.07%      	振玉                   	1656
603   	21.06%      	日出                   	1923
604   	21.06%      	吕布                   	907
605   	21.05%      	桀桀子                	608
606   	21.04%      	Be4Sunrise               	960
607   	21.04%      	CatHikari                	328
608   	21.03%      	发牌姬                	1374
609   	21.03%      	独钓                   	8121
610   	21.03%      	翔鹰                   	2944
611   	21.02%      	塔菲                   	176
612   	21.02%      	SDU麻雀                	176
613   	21.02%      	CHAGA31415               	528
614   	21.00%      	元喜莲                	1776
615   	21.00%      	圓點儿                	800
616   	21.00%      	漆黑似夜             	2448
617   	20.99%      	fmu小木                	505
618   	20.99%      	安宇枫                	648
619   	20.98%      	liqiu                    	224
620   	20.97%      	vicky                    	944
621   	20.97%      	木辛子                	720
622   	20.96%      	落夏                   	272
623   	20.95%      	Sw279695293              	1236
624   	20.94%      	南宁正氣雀馆       	2096
625   	20.94%      	金瓜皮子             	320
626   	20.94%      	Cast27                   	320
627   	20.93%      	王泥喜法介          	836
628   	20.93%      	看雪飘过             	5021
629   	20.93%      	无关烟尘风月       	43
630   	20.93%      	中島由貴             	688
631   	20.93%      	Mo鱼                    	2308
632   	20.93%      	三十                   	1491
633   	20.88%      	十八线玩家          	3223
634   	20.88%      	beyond葬送             	728
635   	20.87%      	kiki                     	848
636   	20.86%      	小蚊子                	2560
637   	20.85%      	墨羽                   	585
638   	20.83%      	CHAGA03                  	28171
639   	20.83%      	超强力鸡翅          	48
640   	20.83%      	调皮的猴子1         	192
641   	20.83%      	诸光                   	768
642   	20.83%      	萌新大黄蜂          	384
643   	20.83%      	自动点炮机          	48
644   	20.83%      	类星体                	144
645   	20.83%      	相约四季             	576
646   	20.83%      	白晴                   	96
647   	20.83%      	爱喝水的思          	96
648   	20.83%      	火柴                   	48
649   	20.83%      	清风明月             	192
650   	20.83%      	求求人                	144
651   	20.83%      	橙留香                	384
652   	20.83%      	杠上补花错和       	480
653   	20.83%      	我爱看评论          	96
654   	20.83%      	我爱汉堡             	48
655   	20.83%      	彩色塑料星          	288
656   	20.83%      	博博                   	672
657   	20.83%      	初阳                   	48
658   	20.83%      	全效进张             	528
659   	20.83%      	ycrj                     	48
660   	20.83%      	wqy                      	48
661   	20.83%      	supercp                  	48
662   	20.83%      	lynchblax84              	48
663   	20.83%      	linkmoon                 	24
664   	20.83%      	kiriha                   	48
665   	20.83%      	Weltraumhund             	48
666   	20.83%      	THRIVE                   	48
667   	20.83%      	ShooH                    	192
668   	20.83%      	Sakura                   	96
669   	20.83%      	PP大公主              	48
670   	20.83%      	Muigi                    	48
671   	20.83%      	MrLiu                    	48
672   	20.83%      	Malkavian                	144
673   	20.83%      	K酱                     	432
674   	20.83%      	Jamesqin                 	48
675   	20.83%      	HReimu                   	48
676   	20.83%      	山丹丹开花          	3917
677   	20.82%      	月黑风高夜          	341
678   	20.80%      	山浩然                	2024
679   	20.80%      	凯旋之愿             	904
680   	20.79%      	熔岩                   	832
681   	20.79%      	火鸡                   	1092
682   	20.77%      	二                      	2624
683   	20.77%      	冥雪99                 	520
684   	20.75%      	AIplayer                 	429
685   	20.74%      	三点水                	6590
686   	20.74%      	CHAGA08                  	27701
687   	20.74%      	sm                       	352
688   	20.74%      	小天天err             	2609
689   	20.74%      	樱花Judy               	1196
690   	20.73%      	一瞥而过             	656
691   	20.72%      	我来辣                	4396
692   	20.72%      	全求人                	2080
693   	20.71%      	八九胡十万          	2882
694   	20.71%      	王致和卤大鹅       	309
695   	20.71%      	祈慕斯                	816
696   	20.70%      	刘十三                	1280
697   	20.70%      	傻逼克高手          	256
698   	20.70%      	Tortov                   	256
699   	20.70%      	一起去前行          	3208
700   	20.69%      	时尚                   	1160
701   	20.69%      	喵喵大笨蛋          	928
702   	20.69%      	t2004                    	2180
703   	20.68%      	蜘蛛                   	672
704   	20.68%      	CHAGA07                  	28595
705   	20.67%      	快乐人生             	416
706   	20.67%      	卿湫                   	208
707   	20.67%      	GyroZeppeli              	208
708   	20.66%      	白开心                	852
709   	20.66%      	ChaosDon                 	944
710   	20.65%      	渣渣                   	92
711   	20.65%      	大王八                	1264
712   	20.64%      	N519                     	528
713   	20.63%      	蹦天使                	4678
714   	20.63%      	浓眉小眼             	7602
715   	20.62%      	风语                   	160
716   	20.62%      	桃子                   	160
717   	20.62%      	中島めいし          	160
718   	20.62%      	reswa1                   	320
719   	20.62%      	StaticFish               	160
720   	20.62%      	Jencese2号              	320
721   	20.62%      	萌新大肥猫          	1576
722   	20.62%      	菠萝吹雪             	2672
723   	20.61%      	鸡神教信徒          	592
724   	20.61%      	yayoi                    	592
725   	20.61%      	CHAGA04                  	28505
726   	20.61%      	雷雨霆                	1616
727   	20.61%      	伯约2                  	1024
728   	20.60%      	有限鲤鱼机          	6049
729   	20.60%      	苍落                   	301
730   	20.59%      	后来                   	1952
731   	20.59%      	CHAGA01                  	28473
732   	20.59%      	虹村雪                	1700
733   	20.59%      	落樱焚雪             	136
734   	20.59%      	crp233                   	816
735   	20.59%      	kanna                    	1229
736   	20.58%      	琳雨空                	928
737   	20.58%      	小笨鸟                	5389
738   	20.58%      	Yuki琪琪               	2736
739   	20.57%      	长风                   	2596
740   	20.57%      	炙易狐                	4468
741   	20.56%      	吾愿汝                	496
742   	20.56%      	pingan                   	496
